cluster_zona,Rendimiento,ce_subsup,ce_sup,Altimetria
0,62.180225607597926,38.16419474447848,63.26407689271598,98.6539748959052
1,60.480589456360235,29.55040227165168,50.43023211536683,99.47190673088295
2,35.75173625789217,39.442190334817745,61.69107133716665,98.92795784190373
3,31.223078816678687,61.013722282806256,74.42616478020531,98.70311435765369
